Tabla	Motor (Engine)	Filas Estimadas
agenda_cartas	InnoDB	4
agenda_categoa	InnoDB	3
agenda_dialaudi	InnoDB	0
agenda_dialogo	InnoDB	0
agenda_mails	InnoDB	0
agenda_names	InnoDB	6040
agenda_paramage	InnoDB	1
android_docusign	InnoDB	0
android_paramovi	InnoDB	1
android_prevcart	InnoDB	0
api_configia	InnoDB	1
api_faccapi	InnoDB	0
api_facvapi	InnoDB	0
api_ianeeds	InnoDB	13
api_paramapi	InnoDB	1
balanza_camioter	InnoDB	0
balanza_clasipes	InnoDB	0
balanza_parabala	InnoDB	1
balanza_parti	InnoDB	0
balanza_pesabor	InnoDB	0
balanza_pesacli	InnoDB	0
balanza_pesaprov	InnoDB	0
bancos_bancore	InnoDB	0
bancos_cambiche	InnoDB	0
bancos_cammyche	InnoDB	0
bancos_camvalo	InnoDB	0
bancos_comenban	InnoDB	736
bancos_confiche	InnoDB	10
bancos_datosda	InnoDB	0
bancos_perbbank	InnoDB	0
bancos_regigas	InnoDB	0
bancos_topeban	InnoDB	0
bancos_totali	InnoDB	0
caja_arqueint	InnoDB	0
caja_arqueoca	InnoDB	0
caja_arquesuc	InnoDB	0
caja_arquotro	InnoDB	0
caja_audichf9	InnoDB	0
caja_bcra	InnoDB	67
caja_billearq	InnoDB	0
caja_billemov	InnoDB	0
caja_billetes	InnoDB	0
caja_bolficha	InnoDB	0
caja_bolsaldo	InnoDB	0
caja_bolsines	InnoDB	0
caja_bolstate	InnoDB	0
caja_cashdeta	InnoDB	0
caja_cashnota	InnoDB	0
caja_chexcuit	InnoDB	0
caja_clovers	InnoDB	0
caja_clovnodo	InnoDB	0
caja_clvrjson	InnoDB	0
caja_cobydapl	InnoDB	0
caja_coeplmar	InnoDB	0
caja_coetamar	InnoDB	0
caja_confclov	InnoDB	0
caja_cuecaja	InnoDB	1
caja_echeimpo	InnoDB	0
caja_fichache	InnoDB	143
caja_financie	InnoDB	0
caja_flow	InnoDB	0
caja_intecash	InnoDB	0
caja_inteotro	InnoDB	0
caja_merchclv	InnoDB	0
caja_monedas	InnoDB	0
caja_moneform	InnoDB	0
caja_monhisco	InnoDB	0
caja_parca	InnoDB	6
caja_rengmone	InnoDB	0
caja_vales	InnoDB	0
caja_valoperi	InnoDB	0
caja_valoprin	InnoDB	0
caja_valostad	InnoDB	6
caja_valperst	InnoDB	0
caja_valstade	InnoDB	175
carrocer_carrocer	InnoDB	0
carrocer_carrofac	InnoDB	0
carrocer_estados	InnoDB	0
carrocer_gastos	InnoDB	0
carrocer_insureal	InnoDB	0
carrocer_insuteor	InnoDB	0
carrocer_modecami	InnoDB	0
carrocer_paramcar	InnoDB	0
carrocer_sectores	InnoDB	0
carrocer_tipcarro	InnoDB	0
carrocer_tipocaja	InnoDB	0
central_intercue	InnoDB	0
central_movipart	InnoDB	504
central_paracent	InnoDB	0
central_ratio	InnoDB	0
central_resulitr	InnoDB	0
cobranza_ctrlchmo	InnoDB	0
cobranza_ctrldeta	InnoDB	0
cobranza_extra2	InnoDB	0
cobranza_extracto	InnoDB	0
cobranza_pronosti	InnoDB	0
cobranza_recixrec	InnoDB	0
cobranza_venci	InnoDB	0
comedor_artitem	InnoDB	0
comedor_deshas	InnoDB	0
comedor_resemesa	InnoDB	0
comedor_reservas	InnoDB	0
compras_afipconf	InnoDB	19
compras_clasordc	InnoDB	0
compras_cloruser	InnoDB	0
compras_conciloc	InnoDB	0
compras_detadoot	InnoDB	0
compras_docunota	InnoDB	0
compras_docurotr	InnoDB	0
compras_ficacoco	InnoDB	0
compras_fichaop	InnoDB	2
compras_fichaorc	InnoDB	0
compras_grupopro	InnoDB	0
compras_grupospr	InnoDB	0
compras_ivacdbf	InnoDB	0
compras_ivacorot	InnoDB	0
compras_leyerem	InnoDB	0
compras_mailrevo	InnoDB	0
compras_ocdesign	InnoDB	0
compras_ocflepro	InnoDB	0
compras_ocflerem	InnoDB	0
